id,answer,pred_base,margin,entropy,top1p,did_sc,sc_label,sc_gap,sc_accepted,p1,p2,p3,p4,p5
generation-for-nlp-425,2,2,0.421875,1.3451526165008545,0.37064966559410095,0,,0.0,0,0.1750825196504593,0.37064966559410095,0.21118980646133423,0.24307799339294434,
generation-for-nlp-426,1,1,4.421875,0.15697471797466278,0.9721809029579163,0,,0.0,0,0.9721809029579163,0.009383163414895535,0.006758439354598522,0.011677535250782967,
generation-for-nlp-427,4,4,3.515625,0.2605017423629761,0.9465110898017883,0,,0.0,0,0.01845403015613556,0.006895766593515873,0.028139034286141396,0.9465110898017883,
generation-for-nlp-428,2,2,4.3125,0.14694634079933167,0.9736131429672241,0,,0.0,0,0.010648179799318314,0.9736131429672241,0.002692281734198332,0.01304642390459776,
generation-for-nlp-429,3,3,0.921875,1.082432508468628,0.5877045392990112,0,,0.0,0,0.09898559749126434,0.07953716069459915,0.5877045392990112,0.23377272486686707,
generation-for-nlp-431,3,3,2.328125,0.5838283896446228,0.8454878926277161,0,,0.0,0,0.025135694071650505,0.04695965722203255,0.8454878926277161,0.08241675794124603,
generation-for-nlp-432,4,4,4.734375,0.06895003467798233,0.9888035655021667,0,,0.0,0,0.0017110730987042189,0.0007957228808663785,0.008689546026289463,0.9888035655021667,
generation-for-nlp-433,3,3,7.15625,0.007398009300231934,0.9991253018379211,0,,0.0,0,3.532657501637004e-05,6.009252683725208e-05,0.9991253018379211,0.0007792917895130813,
generation-for-nlp-434,1,1,3.171875,0.4295579195022583,0.9014626145362854,0,,0.0,0,0.9014626145362854,0.03779374435544014,0.030846353620290756,0.029897313565015793,
generation-for-nlp-435,2,2,2.484375,0.47938331961631775,0.8799782395362854,0,,0.0,0,0.02496306225657463,0.8799782395362854,0.02168828248977661,0.07337051630020142,
generation-for-nlp-436,3,3,2.6875,0.46383458375930786,0.8874690532684326,0,,0.0,0,0.03283512219786644,0.019302770495414734,0.8874690532684326,0.06039302796125412,
generation-for-nlp-437,3,3,1.4375,0.6287329792976379,0.7839899659156799,0,,0.0,0,0.012475556693971157,0.01732059381902218,0.7839899659156799,0.18621394038200378,
generation-for-nlp-439,3,3,5.671875,0.049963708966970444,0.9927190542221069,0,,0.0,0,0.003159607294946909,0.0007050036219879985,0.9927190542221069,0.003416349645704031,
generation-for-nlp-440,4,4,1.640625,0.9231523275375366,0.6915988922119141,0,,0.0,0,0.13407255709171295,0.04025588184595108,0.13407255709171295,0.6915988922119141,
generation-for-nlp-441,4,4,3.078125,0.40959683060646057,0.9057296514511108,0,,0.0,0,0.03623374551534653,0.016331827268004417,0.04170478880405426,0.9057296514511108,
generation-for-nlp-443,2,2,1.90625,0.8387922048568726,0.7460535168647766,0,,0.0,0,0.1108909547328949,0.7460535168647766,0.06318376213312149,0.0798717588186264,
generation-for-nlp-445,2,2,1.140625,1.1322060823440552,0.5792432427406311,0,,0.0,0,0.11229142546653748,0.5792432427406311,0.12332800030708313,0.18513727188110352,
generation-for-nlp-446,4,4,2.0625,0.6442678570747375,0.82065749168396,0,,0.0,0,0.03838266432285309,0.03662499040365219,0.10433488339185715,0.82065749168396,
generation-for-nlp-447,2,2,2.890625,0.44122886657714844,0.8964870572090149,0,,0.0,0,0.049792226403951645,0.8964870572090149,0.023520180955529213,0.03020051121711731,
generation-for-nlp-448,3,3,0.34375,1.2574398517608643,0.40586552023887634,0,,0.0,0,0.07507757842540741,0.2312551885843277,0.40586552023887634,0.28780174255371094,
generation-for-nlp-449,4,4,4.984375,0.06148669496178627,0.9904069304466248,0,,0.0,0,0.006778398994356394,0.0006817214889451861,0.0021329177543520927,0.9904069304466248,
generation-for-nlp-450,2,2,3.09375,0.29948100447654724,0.9345228672027588,0,,0.0,0,0.04236345738172531,0.9345228672027588,0.01464041881263256,0.008473224006593227,
generation-for-nlp-451,2,2,5.609375,0.05867815017700195,0.991414487361908,0,,0.0,0,0.0024961705785244703,0.991414487361908,0.002457470865920186,0.00363190658390522,
generation-for-nlp-452,1,1,6.0,0.03310093656182289,0.9955295920372009,0,,0.0,0,0.9955295920372009,0.0010950224241241813,0.0009078054572455585,0.002467671176418662,
generation-for-nlp-453,4,4,0.09375,1.2088817358016968,0.4104262590408325,0,,0.0,0,0.08469624072313309,0.13118012249469757,0.3736973702907562,0.4104262590408325,
generation-for-nlp-454,2,2,9.359375,0.0012973695993423462,0.9998799562454224,0,,0.0,0,1.9523924493114464e-05,0.9998799562454224,1.4284007193055004e-05,8.614359103376046e-05,
generation-for-nlp-455,2,2,8.578125,0.0034072704147547483,0.9996585845947266,0,,0.0,0,7.841725891921669e-05,0.9996585845947266,7.48262827983126e-05,0.0001881132338894531,
generation-for-nlp-456,2,2,3.828125,0.26579156517982483,0.9466738104820251,0,,0.0,0,0.013088115490972996,0.9466738104820251,0.020590495318174362,0.019647587090730667,
generation-for-nlp-457,1,1,9.9375,0.0012533930130302906,0.999887228012085,0,,0.0,0,0.999887228012085,4.6109675167826936e-05,1.8341161194257438e-05,4.832252670894377e-05,
